match, created_at, move_num, from_coord, to_coord, notation, castled
immortal, 2010-01-01 00:00:33, 33, , , Nd5,
immortal, 2010-01-01 00:00:34, 34, , , Qxb2,
immortal, 2010-01-01 00:00:35, 35, , , Bd6,
immortal, 2010-01-01 00:00:36, 36, , , Bxg1,
immortal, 2010-01-01 00:00:37, 37, , , e5,
immortal, 2010-01-01 00:00:38, 38, , , Qxa1+,
immortal, 2010-01-01 00:00:39, 39, , , Ke2,
immortal, 2010-01-01 00:00:40, 40, , , Na6,
immortal, 2010-01-01 00:00:41, 41, , , Nxg7+,
immortal, 2010-01-01 00:00:42, 42, , , Kd8,
immortal, 2010-01-01 00:00:43, 43, , , Qf6+,
immortal, 2010-01-01 00:00:44, 44, , , Nxf6,
immortal, 2010-01-01 00:00:45, 45, , , Be7#,
